# GLoss,DLoss,KLDivergence,RevKLDivergence
9.8940e-01,1.3066e+00,4.7844e-02,5.3283e-02
1.1546e+00,1.1848e+00,6.3874e-02,7.2474e-02
1.0392e+00,1.3008e+00,3.9005e-02,3.7681e-02
1.0050e+00,1.3015e+00,6.1943e-02,6.5800e-02
1.0692e+00,1.2476e+00,4.8019e-02,5.1883e-02
9.8590e-01,1.2651e+00,4.3413e-02,4.0098e-02
9.7261e-01,1.3505e+00,5.3045e-02,5.2044e-02
1.0740e+00,1.3470e+00,4.7504e-02,4.9169e-02
1.0684e+00,1.2849e+00,5.2224e-02,5.0585e-02
1.0352e+00,1.3258e+00,4.8930e-02,4.6368e-02
9.9794e-01,1.3763e+00,8.5806e-02,8.3565e-02
8.8120e-01,1.2464e+00,1.2918e-01,1.2133e-01
1.0463e+00,1.2399e+00,7.1045e-02,7.5000e-02
1.0380e+00,1.4376e+00,7.1552e-02,7.2493e-02
9.0631e-01,1.2998e+00,9.3989e-02,9.4545e-02
1.0094e+00,1.3139e+00,5.2041e-02,5.4687e-02
1.0234e+00,1.3772e+00,1.0213e-01,9.7052e-02
9.3161e-01,1.3494e+00,1.6072e-01,1.9741e-01
9.5838e-01,1.1527e+00,4.3989e-02,4.5960e-02
1.0345e+00,1.4529e+00,1.2838e-01,1.2666e-01
9.1015e-01,1.2841e+00,6.7086e-02,7.2780e-02
8.4583e-01,1.3096e+00,5.5191e-02,6.0338e-02
9.7873e-01,1.2968e+00,7.3149e-02,7.5487e-02
1.0084e+00,1.4512e+00,9.8280e-02,9.4233e-02
1.0285e+00,1.3179e+00,1.1014e-01,1.1977e-01
9.5442e-01,1.3740e+00,1.1017e-01,1.2525e-01
8.9402e-01,1.4610e+00,6.2153e-02,6.0388e-02
9.5658e-01,1.2953e+00,7.3859e-02,7.7369e-02
9.1174e-01,1.3489e+00,7.5042e-02,8.1038e-02
9.5637e-01,1.4490e+00,8.4917e-02,9.1842e-02
9.4676e-01,1.2846e+00,9.6211e-02,1.1234e-01
9.8378e-01,1.3672e+00,5.2992e-02,5.7674e-02
8.5095e-01,1.2760e+00,9.5611e-02,9.5839e-02
9.9921e-01,1.4017e+00,5.6330e-02,5.9782e-02
8.0040e-01,1.4113e+00,7.8532e-02,8.0686e-02
9.1684e-01,1.3964e+00,5.4109e-02,5.4979e-02
9.6257e-01,1.4941e+00,1.0620e-01,1.0475e-01
1.0114e+00,1.4095e+00,4.0084e-02,3.9529e-02
9.0123e-01,1.5307e+00,9.7550e-02,1.0770e-01
8.2606e-01,1.3315e+00,6.7538e-02,6.3165e-02
8.9953e-01,1.5889e+00,6.7769e-02,7.0614e-02
9.6750e-01,1.3045e+00,1.1568e-01,1.4378e-01
9.1453e-01,1.4876e+00,1.1433e-01,1.1583e-01
9.4257e-01,1.4888e+00,9.6964e-02,9.3894e-02
9.4387e-01,1.3896e+00,6.9560e-02,7.0614e-02
1.0638e+00,1.4781e+00,5.5583e-02,5.6366e-02
9.4285e-01,1.5559e+00,1.5880e-01,1.5641e-01
1.0384e+00,1.4553e+00,1.2353e-01,1.1757e-01
1.0929e+00,1.3229e+00,1.1213e-01,1.5266e-01
